zip,exante_share_baseline,exante_share_alt2,exante_share_alt1
1001,.030683883,.026034178,.026138783
1002,.021138866,.016567657,.01525248
1005,.028806649,.027143845,.031240335
1007,.030144213,.022351334,.020461598
1013,.024941418,.021014361,.020551343
1020,.027003886,.022686848,.023454467
1022,.03707749,.042824298,.031522468
1027,.025598289,.022275712,.023569277
1028,.028389029,.020625722,.017435068
1030,.022412166,.019562915,.019953595
1033,.030620601,.023156703,.019978285
1035,.021423213,.0182612,.017872103
1036,.019982679,.017490115,.01688209
1040,.021903874,.019072365,.017092455
1056,.026402565,.021773694,.02026842
1057,.030210365,.022468332,.019122981
1060,.024166428,.01923077,.018917156
1062,.027209163,.023379384,.023714907
1069,.025803395,.022946522,.021889402
1073,.021405946,.017996324,.017640321
1075,.028603945,.022822134,.021831464
1077,.02668524,.021351319,.021288756
1082,.026168173,.02325763,.019272827
1085,.024903273,.021055561,.022005718
1089,.02648972,.021262024,.021371327
1095,.022932174,.017072944,.015245949
1104,.036097907,.029104324,.026319839
1105,.0091045471,.0073327771,.0068587107
1106,.022732187,.016947934,.015560352
1108,.02881372,.023473525,.023512123
1109,.026254058,.024950689,.024247898
1118,.040140241,.033912584,.032447144
1119,.03906031,.032301579,.032505985
1128,.036345828,.028123412,.022922637
1129,.036928516,.032051463,.032657202
1151,.0258127,.023603439,.024345709
1201,.026784966,.02192287,.021352904
1220,.021771476,.020605864,.023037683
1223,.023775132,.026596859,.022342995
1226,.026027154,.022169391,.023331173
1230,.027894108,.021781418,.018815052
1237,.028261306,.021711688,.020920502
1238,.032304652,.020931417,.014772456
1240,.024598382,.0175189,.014067644
1247,.020130552,.018764023,.017779458
1267,.021364797,.018515222,.018793706
1301,.027542081,.023861354,.022277439
1331,.026642017,.029110461,.027783927
1364,.029527957,.029298486,.028716216
1373,.029895609,.021813195,.018463371
1376,.02193754,.02189447,.022809457
1420,.029769009,.026927264,.022229651
1430,.034042198,.02365024,.019939717
1432,.030915029,.026957924,.023217589
1440,.030951293,.025425265,.021017615
1450,.023777662,.017516017,.01279287
1451,.02043392,.013207687,.013620885
1452,.030448614,.023447791,.020608751
1453,.027785366,.024089135,.019254858
1460,.025971359,.019965997,.01625362
1462,.028394403,.022868594,.020186966
1463,.027361676,.018958133,.016886478
1464,.027811181,.023448555,.020626063
1468,.023495421,.02689697,.02770083
1469,.031527072,.020414639,.021726131
1473,.02778261,.021512203,.019970413
1475,.027212212,.027598558,.022463325
1501,.032168012,.026745776,.025527192
1504,.032134604,.024038672,.020597158
1505,.023228722,.019447505,.017235976
1507,.02763949,.020873316,.018657159
